,59.57544,1.02224439865078E8
4.213375,52.592691,48.379316
7.312821,54.181335,46.868514
9.796938,56.645283,46.848345
4.484324,52.884079,48.399755
5.670164,53.319151,47.648987
3.881104,51.704197,47.823093
7.421631,51.885446,44.463815
11.103345,51.123389,40.020044
4.778465,56.315146,51.536681
4.145971,52.249352,48.103381
5.02221,53.046768,48.024558
3.462391,53.013369,49.550978
8.801291,53.210374,44.409083
3.829106,59.57019,55.741084
6.39026,53.22703,46.83677
4.317735,53.157633,48.839898
5.782214,51.649837,45.867623
3.233404,53.356983,50.123579
4.455052,53.336663,48.881611
4.130633,51.967917,47.837284
3.783951,52.141159,48.357208
3.904663,53.641976,49.737313
3.667997,52.741074,49.073077
4.070216,52.185673,48.115457
4.06053,53.82898,49.76845
4.349388,52.650276,48.300888
4.153899,52.516367,48.362468
5.942042,56.160081,50.218039
6.556386,53.197966,46.64158
5.405075,53.305289,47.900214
4.382506,52.066407,47.683901
5.197747,53.639806,48.442059
4.421327,52.929695,48.508368
3.496102,51.960081,48.463979
3.850494,52.637444,48.78695
3.695377,52.668004,48.972627
5.2105,53.545373,48.334873
3.690592,51.811112,48.12052
4.175574,52.196989,48.021415
3.578042,52.72464,49.146598
6.013347,53.439552,47.426205
6.293233,53.30189,47.008657
4.602761,53.975774,49.373013
2.982654,52.165336,49.182682
3.793723,52.470497,48.676774
3.551616,53.139409,49.587793
4.001294,53.21294,49.211646
3.664205,53.37441,49.710205
3.583967,52.580761,48.996794
4.419345,52.556051,48.136706
4.558697,52.992945,48.434248
7.130041,51.57345,44.443409
6.862878,56.526497,49.663619
4.531994,53.124128,48.592134
4.738831,52.171321,47.43249
3.930506,51.456977,47.526471
3.841941,53.055759,49.213818
3.544731,52.615442,49.070711
5.229782,53.070122,47.84034
4.227165,52.256163,48.028998
4.006025,52.129702,48.123677
3.50629,51.962777,48.456487
3.653938,51.49435,47.840412
3.572934,52.246691,48.673757
4.547701,52.272302,47.724601
4.867394,53.320425,48.453031
5.342261,52.401132,47.058871
3.481269,54.357449,50.87618
3.407491,52.724567,49.317076
4.982544,53.378169,48.395625
3.759006,53.002424,49.243418
3.475822,51.500741,48.024919
3.706441,51.905731,48.19929
3.520156,51.748956,48.2288
4.578794,51.75121,47.172416
3.974636,52.197637,48.223001
8.843937,55.256817,46.41288
4.813392,56.599197,51.785805
4.174157,51.769518,47.595361
3.767839,52.222269,48.45443
3.504303,52.744499,49.240196
6.926598,52.643231,45.716633
3.633511,53.0458,49.412289
5.320672,52.894066,47.573394
3.99568,53.177928,49.182248
4.378683,53.128343,48.74966
3.298517,51.789906,48.491389
3.825475,52.5228,48.697325
3.94271,51.771166,47.828456
6.178736,53.818624,47.639888
5.224354,52.69341,47.469056
4.737856,52.913046,48.17519
3.622393,54.77325,51.150857
5.285191,52.323436,47.038245
3.848289,51.861737,48.013448
4.285265,52.311769,48.026504
4.338488,52.271997,47.933509
3.515219,52.8555,49.340281
3.236523,52.60813,49.371607
3.593335,52.539165,48.94583
4.318882,52.010927,47.692045
5.728814,51.410294,45.68148
5.389895,57.930542,52.540647
5.036535,52.036851,47.000316
3.812986,52.193098,48.380112
2.808443,53.511372,50.702929
3.742649,52.296397,48.553748
3.750452,52.396458,48.646006
4.828913,52.732882,47.903969
